emp_no,title,from_date,to_date
10052,Senior Staff,2002-01-31,9999-01-01
10052,Staff,1997-01-31,2002-01-31
10053,Senior Staff,1994-11-13,9999-01-01
10054,Senior Staff,2000-07-28,9999-01-01
10054,Staff,1995-07-29,2000-07-28
10055,Staff,1992-04-27,1995-07-22
10056,Engineer,1990-02-01,1999-02-01
10056,Senior Engineer,1999-02-01,9999-01-01
10057,Engineer,1992-01-15,2000-01-15
10057,Senior Engineer,2000-01-15,9999-01-01
10058,Senior Staff,1988-04-25,9999-01-01
10059,Senior Staff,1991-06-26,9999-01-01
10060,Senior Staff,1996-05-28,9999-01-01
10060,Staff,1989-05-28,1996-05-28
10061,Senior Staff,1989-12-02,9999-01-01
10062,Engineer,1991-08-30,1999-08-30
10062,Senior Engineer,1999-08-30,9999-01-01
10063,Senior Engineer,1989-04-08,9999-01-01
10064,Staff,1985-11-20,1992-03-02
10065,Engineer,1998-05-24,9999-01-01
10066,Assistant Engineer,1986-02-26,1992-02-26
10066,Engineer,1992-02-26,1998-02-25
10066,Senior Engineer,1998-02-25,9999-01-01
10067,Engineer,1987-03-04,1996-03-03
10067,Senior Engineer,1996-03-03,9999-01-01
10068,Senior Staff,1996-08-06,9999-01-01
10068,Staff,1987-08-07,1996-08-06
10069,Technique Leader,1992-06-14,9999-01-01
10070,Technique Leader,1985-10-14,9999-01-01
10071,Staff,1995-08-05,9999-01-01
10072,Engineer,1989-05-21,1995-05-21
10072,Senior Engineer,1995-05-21,9999-01-01
10073,Engineer,1998-02-02,1998-02-22
10074,Technique Leader,1990-08-13,9999-01-01
10075,Senior Engineer,1988-05-17,2001-01-15
10076,Senior Engineer,1996-07-15,9999-01-01
10077,Staff,1994-12-23,9999-01-01
10078,Engineer,1994-09-29,9999-01-01
10079,Technique Leader,1995-12-13,9999-01-01
10080,Senior Staff,2001-09-28,9999-01-01
10080,Staff,1994-09-28,2001-09-28
10081,Engineer,1986-10-30,1991-10-30
10081,Senior Engineer,1991-10-30,9999-01-01
10082,Staff,1990-01-03,1990-01-15
10083,Engineer,1987-03-31,1994-03-31
10083,Senior Engineer,1994-03-31,9999-01-01
10084,Engineer,1995-12-15,2001-12-14
10084,Senior Engineer,2001-12-14,9999-01-01
10085,Senior Engineer,1994-04-09,9999-01-01
10086,Senior Staff,1999-02-19,9999-01-01
10086,Staff,1992-02-19,1999-02-19
10087,Staff,1997-05-08,2001-01-09
10088,Senior Staff,1993-09-02,9999-01-01
10088,Staff,1988-09-02,1993-09-02
10089,Senior Staff,1996-01-11,9999-01-01
10089,Staff,1989-01-10,1996-01-11
10090,Senior Engineer,1986-03-14,1999-05-07
10091,Engineer,1992-11-18,2001-11-18
10091,Senior Engineer,2001-11-18,9999-01-01
10092,Engineer,1996-04-22,9999-01-01
10093,Staff,1997-06-08,9999-01-01
10094,Senior Staff,1987-04-18,1997-11-08
10095,Senior Staff,2000-03-09,9999-01-01
10095,Staff,1994-03-10,2000-03-09
10096,Engineer,1999-01-23,9999-01-01
10097,Senior Staff,1996-09-14,9999-01-01
10097,Staff,1990-09-15,1996-09-14
10098,Engineer,1985-05-13,1992-05-13
10098,Senior Engineer,1992-05-13,1992-12-11
10099,Senior Staff,1995-10-19,9999-01-01
10099,Staff,1988-10-18,1995-10-19
10100,Senior Staff,1994-09-21,9999-01-01
10100,Staff,1987-09-21,1994-09-21
